i_brand,i_current_price,i_item_desc,i_wholesale_cost,revenue,s_store_name
brandbrand #9,1.36,"A bit small weapons support more. Enough cognitive specimens report. Political lines could attack please quick types. Hard, top clients used to show distant results. D",1.02,16.26,able
brandbrand #9,1.36,"A bit small weapons support more. Enough cognitive specimens report. Political lines could attack please quick types. Hard, top clients used to show distant results. D",1.02,20.6,able
exportiimporto #1,1.63,A bit top candidates see constantly corporate options. Here true ,1.09,3.98,able
edu packimporto #1,0.71,Abl,0.26,8.68,able
scholarnameless #9,1.87,Abl,1.64,16.82,able
corpnameless #7,4.01,Abl,1.64,4.23,able
corpmaxi #5,4.49,"Able, ",3.18,13.1,able
amalgexporti #1,5.77,"Able, a",4.61,17.5,able
amalgunivamalg #2,6.48,"Able, absolute windows come since easier regional forms. S",4.86,22.8,able
edu packimporto #2,4.14,"Able, additional pilots catch then rew",1.36,6.75,able
importonameless #1,3.97,"Able, adult views suggest relatively unpleasant ",1.19,25.83,able
importonameless #1,3.97,"Able, adult views suggest relatively unpleasant ",1.19,13.0,able
scholarnameless #5,7.42,"Able agreements should ask visually. Other, low provisions improve simply royal laws. However physical eyes matter actually police. No doubt civil residents swim befor",4.37,13.81,able
amalgamalg #2,46.46,"Able, alone authorities ought to start things; internationally comfortable errors will get too actions. Always other conservatives ought to make yet e",21.83,25.05,able
amalgamalg #2,46.46,"Able, alone authorities ought to start things; internationally comfortable errors will get too actions. Always other conservatives ought to make yet e",21.83,21.14,able
importoexporti #2,2.82,"Able, american activities should produce generally scientific, normal buyers. Similarly british prob",2.05,24.29,able
edu packmaxi #3,9.72,Able answers must expect newly days. Partially open owners can happen ,5.63,10.37,able
scholarcorp #2,3.86,Able answers must not postpone too places. Financial minutes result as territories. Minutes take loud chief,1.42,19.92,able
importocorp #5,0.95,Able appearances involve. Again general accidents eat increasingly then trad,0.66,19.83,able
scholarnameless #2,2.95,"Able, associated trains can detect short soon creative problems",1.91,18.58,able
amalgscholar #2,5.49,"Able, available problems may advise most prices. Flames want by n",1.86,20.99,able
amalgscholar #1,8.93,"Able, average looks may not express. Cigarettes begin successfully national companies. Contents make walls. Great, old opportunities s",6.16,25.05,able
importoexporti #1,6.24,"Able, beautiful ideas could prove international, national grounds. Cri",4.11,12.91,able
brandunivamalg #9,3.85,"Able books exert so continental meetings. Distinctive, central contracts might not tell in a accountants. Addresses beat minutes. International wines advise so about the letters.",2.92,0.66,able
amalgscholar #1,8.92,"Able, c",3.65,2.56,able
exportimaxi #5,8.5,Able candidat,2.8,19.37,able
exportimaxi #5,8.5,Able candidat,2.8,24.68,able
importoexporti #2,7.46,"Able, capital needs fin",5.66,20.21,able
edu packimporto #1,3.91,"Able cells ensure else assistant, short politicians. Male ",1.79,12.37,able
edu packimporto #1,3.91,"Able cells ensure else assistant, short politicians. Male ",1.79,26.13,able
importomaxi #8,2.58,"Able, certain packages remember just reliable, vocational goods. Silent companies shall enjoy seats. Often early cha",2.21,12.5,able
