30 days,31-60,61-90,91-120,>120 days,cc_name,sm_type,substr
40108,34506,28164,0,0,Pacific Northwest,NEXT DAY,About slight way
40094,33699,27896,0,0,Pacific Northwest_1,NEXT DAY,About slight way
40195,34308,27772,0,0,Pacific Northwest_2,NEXT DAY,About slight way
30215,25927,21036,0,0,California,OVERNIGHT,About slight way
30086,25356,20982,0,0,California_1,OVERNIGHT,About slight way
29942,25413,21384,0,0,California_2,OVERNIGHT,About slight way
30012,25576,20891,0,0,Hawaii/Alaska,OVERNIGHT,About slight way
29858,25594,20835,0,0,Hawaii/Alaska_1,OVERNIGHT,About slight way
29974,25729,21197,0,0,Hawaii/Alaska_2,OVERNIGHT,About slight way
30028,25804,20989,0,0,Mid Atlantic,OVERNIGHT,About slight way
30024,25924,21007,0,0,Mid Atlantic_1,OVERNIGHT,About slight way
30157,25977,21084,0,0,Mid Atlantic_2,OVERNIGHT,About slight way
29989,25810,20879,0,0,Mid Atlantic_3,OVERNIGHT,About slight way
30382,25723,20899,0,0,North Midwest,OVERNIGHT,About slight way
30178,25691,21010,0,0,North Midwest_1,OVERNIGHT,About slight way
30099,25469,21135,0,0,North Midwest_2,OVERNIGHT,About slight way
30065,25602,20948,0,0,North Midwest_3,OVERNIGHT,About slight way
30133,25849,20953,0,0,NY Metro,OVERNIGHT,About slight way
30014,25487,21069,0,0,NY Metro_1,OVERNIGHT,About slight way
30310,25736,21058,0,0,NY Metro_2,OVERNIGHT,About slight way
30322,25679,20896,0,0,NY Metro_3,OVERNIGHT,About slight way
29963,25943,20941,0,0,Pacific Northwest,OVERNIGHT,About slight way
29972,25462,20992,0,0,Pacific Northwest_1,OVERNIGHT,About slight way
29862,25542,20897,0,0,Pacific Northwest_2,OVERNIGHT,About slight way
30137,25762,20944,0,0,California,REGULAR,About slight way
30148,25658,20995,0,0,California_1,REGULAR,About slight way
30252,25485,20927,0,0,California_2,REGULAR,About slight way
30139,25562,21177,0,0,Hawaii/Alaska,REGULAR,About slight way
29772,25353,20979,0,0,Hawaii/Alaska_1,REGULAR,About slight way
29753,25360,21180,0,0,Hawaii/Alaska_2,REGULAR,About slight way
29992,25579,21244,0,0,Mid Atlantic,REGULAR,About slight way
29959,25297,20785,0,0,Mid Atlantic_1,REGULAR,About slight way
30169,25490,21043,0,0,Mid Atlantic_2,REGULAR,About slight way
29841,25487,20651,0,0,Mid Atlantic_3,REGULAR,About slight way
30132,25666,20996,0,0,North Midwest,REGULAR,About slight way
30157,25634,20770,0,0,North Midwest_1,REGULAR,About slight way
30269,25859,21086,0,0,North Midwest_2,REGULAR,About slight way
30111,25647,20962,0,0,North Midwest_3,REGULAR,About slight way
30239,25661,21013,0,0,NY Metro,REGULAR,About slight way
30242,25613,20694,0,0,NY Metro_1,REGULAR,About slight way
