i_brand,i_current_price,i_item_desc,i_wholesale_cost,revenue,s_store_name
importoedu pack #2,2.73,A,1.88,3.5,able
amalgnameless #5,9.54,A,6.29,3.7,able
corpmaxi #11,5.86,A,5.21,3.98,able
exportischolar #1,5.56,A,2.16,1.41,able
importonameless #2,2.59,A,1.83,3.27,able
edu packedu pack #2,5.53,A,2.43,7.68,able
maxibrand #5,0.53,A,0.31,5.25,able
importonameless #5,87.64,A,78.87,3.94,able
univamalgamalg #2,3.29,A,2.36,6.93,able
univnameless #8,0.83,A,0.73,2.11,able
amalgnameless #5,9.54,A,6.29,1.36,able
importoimporto #1,8.59,A,4.29,2.93,able
importomaxi #5,0.56,A,0.2,3.78,able
amalgmaxi #7,6.36,A,2.09,0.0,able
maxibrand #7,6.51,A,4.42,2.24,able
edu packamalg #2,2.97,A,1.18,3.42,able
amalgedu pack #2,9.74,A,4.96,1.22,able
exportischolar #2,2.71,A,1.49,7.03,able
univnameless #8,0.83,A,0.73,8.06,able
edu packedu pack #2,5.53,A,2.43,6.34,able
importomaxi #5,0.56,A,0.2,8.29,able
importoexporti #1,9.9,A,4.75,4.45,able
namelessmaxi #9,5.05,Ab,2.82,1.6,able
namelessmaxi #9,5.05,Ab,2.82,9.37,able
namelessmaxi #9,5.05,Ab,2.82,6.94,able
importoexporti #1,4.5,Aback black readers form just at ,1.39,5.62,able
amalgexporti #2,2.46,Aback historic days could not remain by a traditions. Correspond,0.86,2.06,able
edu packnameless #2,1.16,"Abilities accept heavy courses. Distinct, little members shall not bring always more than central feet; satisfied, suitable knees could not catch closely tory interpretations. Parents breathe ",0.87,4.21,able
edu packnameless #2,1.16,"Abilities accept heavy courses. Distinct, little members shall not bring always more than central feet; satisfied, suitable knees could not catch closely tory interpretations. Parents breathe ",0.87,0.48,able
edu packnameless #2,1.16,"Abilities accept heavy courses. Distinct, little members shall not bring always more than central feet; satisfied, suitable knees could not catch closely tory interpretations. Parents breathe ",0.87,6.54,able
exportischolar #1,0.75,"Abilities can specify aspirations. Popular,",0.32,3.82,able
edu packcorp #5,4.63,Abilities could say so ,1.94,0.0,able
univnameless #9,1.0,"Abilities discuss about unacceptable, recent men. Typical relations come much quickly wrong churches. Actua",0.63,6.77,able
univnameless #9,1.0,"Abilities discuss about unacceptable, recent men. Typical relations come much quickly wrong churches. Actua",0.63,2.89,able
edu packunivamalg #16,2.54,"Abilities send suddenly ethnic, total organizations. Ages will not emphasise",1.29,3.84,able
edu packunivamalg #16,2.54,"Abilities send suddenly ethnic, total organizations. Ages will not emphasise",1.29,7.34,able
scholarmaxi #3,0.35,"Abilities shall turn obviously. Towns set so strong, private police. Industrial, gastric relations shall express. Soon welsh photographs used to campaign emotional trees. Compu",0.12,7.47,able
scholarmaxi #3,0.35,"Abilities shall turn obviously. Towns set so strong, private police. Industrial, gastric relations shall express. Soon welsh photographs used to campaign emotional trees. Compu",0.12,1.53,able
scholarmaxi #3,0.35,"Abilities shall turn obviously. Towns set so strong, private police. Industrial, gastric relations shall express. Soon welsh photographs used to campaign emotional trees. Compu",0.12,1.96,able
importoamalg #1,36.93,"Abilities think bright legs. Commercial, hard hours shall meet hot, golden police; specific, relative winds like in the prices. Both other days must ",25.85,6.08,able
importoamalg #1,36.93,"Abilities think bright legs. Commercial, hard hours shall meet hot, golden police; specific, relative winds like in the prices. Both other days must ",25.85,0.11,able
corpnameless #7,4.46,"Abilities used to enter markets. New, ",1.47,0.0,able
corpnameless #7,4.46,"Abilities used to enter markets. New, ",1.47,2.86,able
importoexporti #2,9.68,A bit,7.26,3.78,able
importoexporti #2,9.68,A bit,7.26,0.45,able
importoexporti #2,9.68,A bit,7.26,9.34,able
scholarnameless #7,73.13,"A bit basic services shall avoid big times. Other, immediate categories must resign. Othe",65.81,9.91,able
scholarnameless #7,73.13,"A bit basic services shall avoid big times. Other, immediate categories must resign. Othe",65.81,4.27,able
amalgamalg #2,3.36,"A bit excellent pages help human households. Rare, happy eyes avoid instruments. P",2.55,1.65,able
scholarnameless #7,8.45,"A bit famous particles lead here single, a",3.71,9.18,able
scholarnameless #7,8.45,"A bit famous particles lead here single, a",3.71,3.31,able
univnameless #3,6.08,"A bit long findings remember final, important matters. Pressures shall trade really recently successful areas. Vertical journals might p",3.95,5.15,able
brandcorp #1,3.75,A bit only libraries might go twice. New teachers should not enter academic police. Essentially agricultural details hear too in a criteria; abstra,1.61,5.17,able
brandcorp #1,3.75,A bit only libraries might go twice. New teachers should not enter academic police. Essentially agricultural details hear too in a criteria; abstra,1.61,9.17,able
brandcorp #1,3.75,A bit only libraries might go twice. New teachers should not enter academic police. Essentially agricultural details hear too in a criteria; abstra,1.61,2.25,able
importounivamalg #9,3.73,A bit other groups bring suddenly usual services. Details work at first italian hands. Certain issues would form pp.; free drawings must allow independ,2.31,8.06,able
